label_tec,sentence
T1003,Adversaries may attempt to dump the contents of /etc/passwd and /etc/shadow to enable offline password cracking.
T1003,Most modern Linux operating systems use a combination of /etc/passwd and /etc/shadow to store user account information including password hashes in /etc/shadow.
T1003,"By default, /etc/shadow is only readable by the root user."
T1003,"The Linux utility, unshadow, can be used to combine the two files in a format suited for password cracking utilities such as John the Ripper: # /usr/bin/unshadow /etc/passwd /etc/shadow > /tmp/crack.password.db"
T1557,Adversaries may poison Address Resolution Protocol  caches to position themselves between the communication of two or more networked devices.
T1557,This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.
T1557,"The ARP protocol is used to resolve IPv4 addresses to link layer addresses, such as a media access control  address."
T1557,Devices in a local network segment communicate with each other by using link layer addresses.
T1557,"If a networked device does not have the link layer address of a particular networked device, it may send out a broadcast ARP request to the local network to translate the IP address to a MAC address."
T1557,The device with the associated IP address directly replies with its MAC address.
T1557,The networked device that made the ARP request will then use as well as store that information in its ARP cache.
T1557,An adversary may passively wait for an ARP request to poison the ARP cache of the requesting device.
T1557,"The adversary may reply with their MAC address, thus deceiving the victim by making them believe that they are communicating with the intended networked device."
T1557,"For the adversary to poison the ARP cache, their reply must be faster than the one made by the legitimate IP address owner."
T1557,Adversaries may also send a gratuitous ARP reply that maliciously announces the ownership of a particular IP address to all the devices in the local network segment.
T1557,The ARP protocol is stateless and does not require authentication.
T1557,"Therefore, devices may wrongly add or update the MAC address of the IP address in their ARP cache."
T1557,Adversaries may use ARP cache poisoning as a means to intercept network traffic.
T1557,"This activity may be used to collect and/or relay data such as credentials, especially those sent over an insecure, unencrypted protocol."
T1557,Cleaver has used custom tools to facilitate ARP cache poisoning.
T1558,Adversaries may reveal credentials of accounts that have disabled Kerberos preauthentication by Password Cracking Kerberos messages.
T1558,Preauthentication offers protection against offline Password Cracking.
T1558,"When enabled, a user requesting access to a resource initiates communication with the Domain Controller  by sending an Authentication Server Request  message with a timestamp that is encrypted with the hash of their password."
T1558,"If and only if the DC is able to successfully decrypt the timestamp with the hash of the user’s password, it will then send an Authentication Server Response  message that contains the Ticket Granting Ticket  to the user."
T1558,Part of the AS-REP message is signed with the user’s password.
T1558,"For each account found without preauthentication, an adversary may send an AS-REQ message without the encrypted timestamp and receive an AS-REP message with TGT data which may be encrypted with an insecure algorithm such as RC4."
T1558,The recovered encrypted data may be vulnerable to offline Password Cracking attacks similarly to Kerberoasting and expose plaintext credentials.
T1558,"An account registered to a domain, with or without special privileges, can be abused to list all domain accounts that have preauthentication disabled by utilizing Windows tools like PowerShell with an LDAP filter."
T1558,"Alternatively, the adversary may send an AS-REQ message for each user."
T1558,"If the DC responds without errors, the account does not require preauthentication and the AS-REP message will already contain the encrypted data."
T1558,"Cracked hashes may enable Persistence, Privilege Escalation, and Lateral Movement via access to Valid Accounts."
T1548,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions.
T1548,Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine.
T1548,Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk.
T1548,An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.
T1134,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.
T1134,Windows uses access tokens to determine the ownership of a running process.
T1134,A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process.
T1134,"When this occurs, the process also takes on the security context associated with the new token."
T1134,An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing.
T1134,These token can then be applied to an existing process  Token Impersonation/Theft or used to spawn a new process  Create Process with Token.
T1134,An adversary must already be in a privileged user context  administrator to steal a token.
T1134,"However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level."
T1134,An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.
T1134,"Any standard user can use the runas command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account."
