label_tec,sentence
T1598,Sidewinder has sent e-mails with malicious links to credential harvesting websites.
T1598,Silent Librarian has used links in e-mails to direct victims to credential harvesting websites designed to appear like the targeted organization's login page.
T1598,Magic Hound has used SMS and email messages with links designed to steal credentials.
T1598,Adversaries may send spearphishing messages via third-party services to elicit sensitive information that can be used during targeting.
T1598,"In this scenario, adversaries send messages through various social media services, personal webmail, and other non-enterprise controlled services."
T1598,These services are more likely to have a less-strict security policy than an enterprise.
T1598,"As with most kinds of spearphishing, the goal is to generate rapport with the target or get the target's interest in some way."
T1598,Adversaries may create fake social media accounts and message employees for potential job opportunities.
T1598,"Doing so allows a plausible reason for asking about services, policies, and information about their environment."
T1566,Adversaries may send spearphishing messages via third-party services in an attempt to gain access to victim systems.
T1566,Spearphishing via service is a specific variant of spearphishing.
T1566,It is different from other forms of spearphishing in that it employs the use of third party services rather than directly via enterprise email channels.
T1566,Adversaries will create fake social media accounts and message employees for potential job opportunities.
T1566,"Doing so allows a plausible reason for asking about services, policies, and software that's running in an environment."
T1566,The adversary can then send malicious links or attachments through these services.
T1566,"A common example is to build rapport with a target via social media, then send content to a personal webmail service that the target uses on their work computer."
T1566,"This allows an adversary to bypass some email restrictions on the work account, and the target is more likely to open the file since it's something they were expecting."
T1566,"If the payload doesn't work as expected, the adversary can continue normal communications and troubleshoot with the target on how to get it working."
T1566,Dark Caracal spearphished victims via Facebook and Whatsapp.
T1566,OilRig has used LinkedIn to send spearphishing links.
T1566,FIN6 has used fake job advertisements sent via LinkedIn to spearphish targets.
T1566,Windshift has used fake personas on social media to engage and target victims.
T1566,Magic Hound used various social media channels  as well as messaging services  to spearphish victims.
T1566,Ajax Security Team has used various social media channels to spearphish victims.
T1566,APT29 has used the legitimate mailing service Constant Contact to send phishing e-mails.
T1566,Lazarus Group has used fake job advertisements sent via LinkedIn to spearphish victims.
T1608,"Adversaries may upload, install, or otherwise set up capabilities that can be used during targeting."
T1608,"To support their operations, an adversary may need to take capabilities they developed  or obtained  and stage them on infrastructure under their control."
T1608,These capabilities may be staged on infrastructure that was previously purchased/rented by the adversary  or was otherwise compromised by them .
T1608,"Capabilities can also be staged on web services, such as GitHub or Pastebin."
T1608,"Staging of capabilities can aid the adversary in a number of initial access and post-compromise behaviors, including :
* Staging web resources necessary to conduct Drive-by Compromise when a user browses to a site."
T1608,* Staging web resources for a link target to be used with spearphishing.
T1608,* Uploading malware or tools to a location accessible to a victim network to enable Ingress Tool Transfer.
T1608,* Installing a previously acquired SSL/TLS certificate to use to encrypt command and control traffic  with Web Protocols.
T1132,Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect.
T1132,Command and control  information can be encoded using a standard data encoding system that adheres to existing protocol specifications.
T1132,"Common data encoding schemes include ASCII, Unicode, hexadecimal, Base64, and MIME."
T1132,Elise exfiltrates data using cookie values that are Base64-encoded.
T1132,"Some Backdoor.Oldrea samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers."
T1132,BS2005 uses Base64 encoding for communication in the message body of an HTTP request.
T1132,RogueRobin base64 encodes strings that are sent to the C2 over its DNS tunnel.
T1132,Misdat network traffic is Base64-encoded plaintext.
T1132,Responses from the Pisloader C2 server are base32-encoded.
T1132,S-Type uses Base64 encoding for C2 traffic.
T1132,Prikormka encodes C2 traffic with Base64.
T1132,Dipsind encodes C2 traffic with base64.
T1132,OopsIE encodes data in hexadecimal format over the C2 channel.
T1132,Ixeshe uses custom Base64 encoding schemes to obfuscate command and control traffic in the message body of HTTP requests.
T1132,QUADAGENT encodes C2 communications with base64.
T1132,SeaDuke C2 traffic is base64-encoded.
T1132,Kazuar encodes communications to the C2 server in Base64.
T1132,"C2 traffic from ADVSTORESHELL is encrypted, then encoded with Base64 encoding."
T1132,Mis-Type uses Base64 encoding for C2 traffic.
T1132,AutoIt backdoor has sent a C2 response that was base64-encoded.
T1132,A JHUHUGIT variant encodes C2 POST data base64.
T1132,Octopus encodes C2 communications in Base64.
T1132,Cobian RAT obfuscates communications with the C2 server using Base64 encoding.
T1132,BADNEWS encodes C2 traffic with base64.
T1132,CORESHELL C2 messages are Base64-encoded.
T1132,"For C2 over HTTP, Helminth encodes data with base64 and sends it via the ""Cookie"" field of HTTP requests."
T1132,"For C2 over DNS, Helminth converts ASCII characters into their hexadecimal values and sends the data in cleartext."
T1132,Daserf uses custom base64 encoding to obfuscate HTTP traffic.
T1132,Denis encodes the data sent to the server in Base64.
T1132,Astaroth encodes data using Base64 before sending it to the C2 server.
T1132,SpeakUp encodes C&C communication using Base64.
T1132,HOPLIGHT has utilized Zlib compression to obfuscate the communications payload.
T1132,Ebury has encoded C2 traffic in hexadecimal format.
T1132,Revenge RAT uses Base64 to encode information sent to the C2 server.
T1132,njRAT uses Base64 encoding for C2 traffic.
T1132,Zebrocy has used URL/Percent Encoding on data exfiltrated via HTTP POST requests.
T1132,Fysbis can use Base64 to encode its C2 traffic.
T1132,"More_eggs has used basE91 encoding, along with encryption, for C2 communication."
T1132,BabyShark has encoded data using certutil before exfiltration.
T1132,Carbanak encodes the message body of HTTP traffic with Base64.
T1132,ChChes can encode C2 data with a custom technique that utilizes Base64.
T1132,Some Felismus samples use a custom method for C2 traffic that utilizes Base64.
T1132,KONNI has used a custom base64 key to encode stolen data before exfiltration.
T1132,Okrum has used base64 to encode C2 communication.
T1132,PowerShower has the ability to encode C2 communications with base64 encoding.
T1132,MechaFlounder has the ability to use base16 encoded strings in C2.
T1132,down_new has the ability to base64 encode C2 communications.
T1132,Kessel has exfiltrated data via hexadecimal-encoded subdomain fields of DNS queries.
T1132,gh0st RAT has used Zlib to compress C2 communications data before encrypting it.
T1132,RDAT can communicate with the C2 via base32-encoded subdomains.
T1132,Valak has returned C2 data as encoded ASCII.
T1132,TrickBot can Base64-encode C2 commands.
T1132,WellMess has used Base64 encoding to uniquely identify communication to and from the C2.
